SKU	Brand	Line	Vitola	Country	Tier	Strength	Body	Flavor Family	Occasion	Smoke Time	Pairing Affinity	Wrapper	Binder	Filler	Notes	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Best For	Avoid If	Why Recommend	Recommendation Confidence	Source Confidence	Beginner Safe	Image URL	Article Source	MSRP USD	Length	Ring Gauge	Shape	Stick Size	Catalog Line	Member Blurb	Price Note	Size Note	CA Rating	CA List Year	CA List	CA Rank	Data Grade (1-10)
VID-04-AJF-NW-CAM-TORO	A.J. Fernandez	New World Cameroon	Toro	Nicaragua	4	3	Medium	Creamy	Morning coffee	90 min	Coffee	Cameroon	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches New World Cameroon in Toro - Nicaragua character and Sterlon regional/flavor identity.	Cameroon wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	earth, pepper, cedar, eucalyptus, citrus	Verified against https://www.cigaraficionado.com/ratings/21139/name/new-world-cameroon-selection-toro-toro.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching New World Cameroon identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/ratings/21139/name/new-world-cameroon-selection-toro-toro	7.	4.13	42.	Gordo	6 × 60 · Gordo	Don Lino Maduro · 6 × 60 · Gordo · Medium-Full · Dominican · $7 · Notes: cocoa, coffee, earth, dark sweetness	Don Lino maduro gran toro - 60-ring Dominican maduro for long budget sessions.							10
VID-08-AJF-SANLOT-ROB	A.J. Fernandez	San Lotano Oval	Robusto	Nicaragua	4	3	Medium	Woodsy	After dinner	60 min	Bourbon	Nicaragua	Nicaragua	Nicaragua / Honduras	Sterlon teaching catalog (video transcript). Teaches San Lotano Oval in Robusto - Nicaragua character and Sterlon regional/flavor identity.	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, earth, leather, cocoa, sweet tobacco	Verified against https://www.cigaraficionado.com/ratings/8978/name/a-j-fernandez-san-lotano-oval-robusto.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching San Lotano Oval identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/ratings/8978/name/a-j-fernandez-san-lotano-oval-robusto		6.13	52.	Torpedo	6⅛ × 52 · Torpedo	Montecristo Línea Clásica No. 2 · 6⅛ × 52 · Torpedo · Medium-Full · Cuban · — · Notes: cedar, wood, earth, leather	Montecristo No. 2 piramide - cedar, earth, and medium-full Cuban torque in the reference torpedo format.	Island Cuban; not U.S. retail MSRP.	Classic piramide; HTD-07 is non-Cuban Montecristo reference.					10
VID-13-AGAN-ANNIV-TORO	Aganorsa Leaf	Aniversario	Toro	Nicaragua	5	4	Medium-Full	Sweet Spice	Celebration	90 min	Bourbon	Nicaragua Corojo	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Aniversario in Toro - Nicaragua character and Sterlon regional/flavor identity.	Nicaragua Corojo wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, baking spice, earth, cocoa, sweet tobacco	Verified against https://www.cigaraficionado.com/ratings/8983/name/aganorsa-leaf-aniversario-toro.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Aniversario identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/8983/name/aganorsa-leaf-aniversario-toro	45.	6.	52.	Perfecto	6 × 52 · Perfecto	Padron 60th Anniversary · 6 × 52 · Perfecto · Full · Nicaragua · $45 · Notes: malted milk, cafe au lait, chocolate, cocoa	2025 Cigar of the Year — Padron anniversary perfecto with malted milk, cafe au lait, and chocolate in a Nicaraguan puro. Collector occasion.							10
VID-12-AGAN-SIG-ROB	Aganorsa Leaf	Signature Selection	Robusto	Nicaragua	5	4	Medium-Full	Savory	After dinner	60 min	Rum	Nicaragua Corojo	Nicaragua	Nicaragua	Sterlon teaching catalog (video transcript). Teaches Signature Selection in Robusto - Nicaragua character and Sterlon regional/flavor identity.	Nicaragua Corojo wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cinnamon, cocoa, wood, minerals	Verified against https://www.cigaraficionado.com/ratings/20989/name/aganorsa-leaf-signature-selection-corona-gorda-corona.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Signature Selection identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/20989/name/aganorsa-leaf-signature-selection-corona-gorda-corona	9.	5.	52.	Robusto	5 × 52 · Robusto	A.J. Fernandez Enclave Broadleaf Robusto · 5 × 52 · Robusto · Medium-Full · Nicaragua · $9 · Notes: cocoa, coffee, earth, dark sweetness	Enclave Broadleaf robusto — Connecticut broadleaf sweetness and coffee notes. AJ's maduro/broadleaf fermentation lesson.							10
CA25-14-AGING-QUATTRO	Aging Room	Quattro Nicaragua Concerto	Impromptu	Nicaragua	4	5	Medium-Full	Sweet Spice	After dinner	90 min	Bourbon	Nicaragua	Nicaragua	Nicaragua	Cigar Aficionado 2025 #14, rated 95. Teaches A.J. Fernandez/Nodal collaboration, Nicaraguan puro structure, box-pressed/double-tapered shape, and spice-driven complexity.	Nicaraguan hybrid wrapper adds pepper, cinnamon, nutmeg, and citrus lift.	Nicaraguan binder keeps the box-pressed puro firm and structured.	Nicaraguan filler supplies body, spice, and the A.J. Fernandez regional core.	pepper, cinnamon, nutmeg, orange peel	Verified against https://www.cigaraficionado.com/top25cigar/aging-room-quattro-nicaragua-concerto-impromptu-2025.	User wants mild cream or low spice.	Recommend for a spice-focused Nicaraguan puro with modern critical credibility.	High	Cigar Aficionado 2025 Top 25 review tasting prose	No	https://mshanken.imgix.net/cao/bolt/2025-12/top14-ratingh.jpg	https://www.cigaraficionado.com/top25cigar/aging-room-quattro-nicaragua-concerto-impromptu-2025	6.	5.	50.	Robusto	5 × 50 · Robusto	Bolivar Cofradia · 5 × 50 · Robusto · Medium · Honduras · $6 · Notes: cedar, wood, earth, leather	Bolivar Cofradia robusto - Honduran earth in a 5x50. Step up from the petit corona on our 2024 list.		Robusto vitola; BB24-10 is Cofradia petit corona.	95	2025	Top 25	14	10
CA24-12-AKSUM-CLARO	Aksum	Claro	Robusto	Nicaragua	4	3	Medium	Creamy	Morning coffee	60 min	Coffee	Ecuador	Nicaragua	Nicaragua	Cigar Aficionado 2024 #12, rated 93. Teaches Claro identity in Robusto format - regional character, construction, and Top 25 prestige.	Ecuador wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/aksum-claro-robusto-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Claro, or a medium coffee-friendly smoke at this size.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/aksum-claro-robusto-2024	14.	6.	60.	Grande	6 × 60 · Grande	Foundation Cigar Company Olmec Maduro · 6 × 60 · Grande · Full · Nicaragua · $14 · Notes: cocoa, earth, espresso, molasses	Foundation San Andrés statement in a 60-ring grande — cocoa, espresso, and long-session body. Winter smoke; plan two hours.			93	2024	Top 25	12	10
CA25-25-ALADINO-85	Aladino	85 Aniversario Reserva	Toro	Honduras	6	4	Medium	Woodsy	Celebration	90 min	Scotch	Honduras	Honduras	Honduras	Cigar Aficionado 2025 #25, rated 93. Teaches Honduran puro identity, Jamastran Corojo-seed heritage, and anniversary reserve character from Julio Eiroa.	Honduran wrapper showcases Corojo-seed heritage, wood, spice, and classic aroma.	Honduran binder keeps the puro structure direct and regional.	Honduran filler provides cedar, wood, spice, and medium-bodied reserve depth.	almond paste, baking spices, freshly baked cookie	Verified against https://www.cigaraficionado.com/top25cigar/aladino-85-aniversario-reserva-toro-2025.	User wants dark maduro, full strength, or creamy Connecticut mildness.	Recommend when the user wants to understand Honduran puro character and Eiroa heritage.	High	Cigar Aficionado 2025 Top 25 review tasting prose	Maybe	https://mshanken.imgix.net/cao/bolt/2025-12/top25-ratingh.jpg	https://www.cigaraficionado.com/top25cigar/aladino-85-aniversario-reserva-toro-2025	14.	5.	50.	Robusto	5 × 50 · Robusto	Cohiba Dominican / Red Dot Robusto · 5 × 50 · Robusto · Medium · Dominican · $14 · Notes: cedar, cream, black pepper, wood	Cameroon texture and Dominican Piloto body — cedar, cream, and black pepper. Heritage prestige without OpusX money (U.S.-legal DR Cohiba).	Dominican Red Dot; not island Cuban.	Red Dot line — multiple vitolas; Robusto representative.	93	2025	Top 25	25	10
BB24-02-ALADINO-PC	Aladino	Aladino	Petit Corona	Honduras	3	3	Medium	Woodsy	Morning coffee	45 min	Coffee	Honduras	Honduras	Honduras	Cigar Aficionado 2024 Best Buy, rated 92 (≤$7 MSRP). Teaches Aladino in Petit Corona - value Honduras pick for budget-conscious smokers.	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/aladino-petit-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/aladino-petit-corona-2024	13.	5.	52.	Robusto	5 × 52 · Robusto	Foundation Cigar Company The Tabernacle CT Broadleaf Robusto · 5 × 52 · Robusto · Full · Nicaragua · $13 · Notes: dark cocoa, espresso, leather, earth	Broadleaf done with boutique intent — dark cocoa, leather, and fermented sweetness. For smokers who want texture, not just strength.		Line also: Toro 6×52, Lancero 7×38.	92	2024	Best Buy		10
VID-18-ALA-CORO-RES-ROB	Aladino	Corojo Reserva	Robusto	Honduras	4	4	Medium-Full	Woodsy	After dinner	60 min	Coffee	Honduras Corojo	Honduras	Honduras / Nicaragua	Sterlon teaching catalog (video transcript). Teaches Corojo Reserva in Robusto - Honduras character and Sterlon regional/flavor identity.	Honduras Corojo wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	black pepper, baked apple, cocoa, cardamom, woody	Verified against https://www.cigaraficionado.com/ratings/22527/name/aladino-corojo-reserva-no-4-odd.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Corojo Reserva identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/22527/name/aladino-corojo-reserva-no-4-odd	10.	6.13	52.	Torpedo	6⅛ × 52 · Torpedo	La Aroma de Cuba Pasión Box-Pressed Torpedo · 6⅛ × 52 · Torpedo · Full · Nicaragua · $10 · Notes: cocoa, coffee, earth, dark sweetness	My Father-made Pasión — box-pressed torpedo with coffee, cocoa, and pepper. Richer and more modern than La Aroma Original.		Pasión line; CA25-23 is Original Robusto — different blend.					10
BB25-09-AB-CHUNK-XL	Alec Bradley	Chunk Maduro	XL	Honduras	3	4	Medium-Full	Coffee	After dinner	60 min	Bourbon	San Andrés Maduro	Honduras	Honduras / Nicaragua	Cigar Aficionado 2025 Best Buy, rated 90 (≤$7 MSRP). Teaches Chunk Maduro in XL - value Honduras pick for budget-conscious smokers.	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, coffee, earth, dark sweetness, cedar	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/alec-bradley-chunk-maduro-xl-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/top25cigar/alec-bradley-chunk-maduro-xl-2025	10.	5.	50.	Robusto	5 × 50 · Robusto	C.L.E. Maduro 50x5 · 5 × 50 · Robusto · Full · Honduras · $10 · Notes: dark cocoa, earth, spice, roasted nuts	Eiroa family full maduro — dark cocoa, pepper, and Honduran identity in a 50x5 robusto. Strong after-dinner without boutique pricing.			90	2025	Best Buy		10
VID-02-MOW-10TH-TORO	Alec Bradley	Man O' War 10th Anniversary	Toro	Honduras	4	4	Medium-Full	Sweet Spice	After dinner	90 min	Bourbon	Honduras	Honduras	Honduras / Nicaragua	Sterlon teaching catalog (video transcript). Teaches Man O' War 10th Anniversary in Toro - Honduras character and Sterlon regional/flavor identity.	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	nuts, oak, pepper	Verified against https://www.cigarsinternational.com/p/man-o-war-virtue-10-anniversary/2050768/.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Man O' War 10th Anniversary identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Manufacturer official	Maybe		https://www.cigarsinternational.com/p/man-o-war-virtue-10-anniversary/2050768/	7.	5.25	52.	Figurado	5¼ × 52 · Figurado	Punch Bottle Rocket · 5¼ × 52 · Figurado · Medium-Full · Honduras · $7 · Notes: earth, savory spice, cedar, cocoa	Punch Bottle Rocket figurado - Honduran spice in a fun shape. Slightly bolder than most Best Buys.							10
