SKU	Brand	Line	Vitola	Wrapper	Binder	Filler	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Strength	Tier	MSRP	Length	Ring	Catalog Line	Member Blurb	Best For	Avoid If	Why Recommend	Data Grade	CA Rating	Stick Size	Repr Vitola	Origin	Factory	Beginner Safe
VID-04-AJF-NW-CAM-TORO	A.J. Fernandez	New World Cameroon	Toro	Cameroon	Nicaragua	Nicaragua	Cameroon wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	earth, pepper, cedar, eucalyptus, citrus	3	4	7	4.13	42	Don Lino Maduro · 6 × 60 · Gordo · Medium-Full · Dominican · $7 · Notes: cocoa, coffee, earth, dark sweetness	Don Lino maduro gran toro - 60-ring Dominican maduro for long budget sessions.	Verified against https://www.cigaraficionado.com/ratings/21139/name/new-world-cameroon-selection-toro-toro.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching New World Cameroon identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6 × 60 · Gordo				Yes
VID-08-AJF-SANLOT-ROB	A.J. Fernandez	San Lotano Oval	Robusto	Nicaragua	Nicaragua	Nicaragua / Honduras	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, earth, leather, cocoa, sweet tobacco	3	4		6.13	52	Montecristo Línea Clásica No. 2 · 6⅛ × 52 · Torpedo · Medium-Full · Cuban · — · Notes: cedar, wood, earth, leather	Montecristo No. 2 piramide - cedar, earth, and medium-full Cuban torque in the reference torpedo format.	Verified against https://www.cigaraficionado.com/ratings/8978/name/a-j-fernandez-san-lotano-oval-robusto.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching San Lotano Oval identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6⅛ × 52 · Torpedo				Yes
VID-13-AGAN-ANNIV-TORO	Aganorsa Leaf	Aniversario	Toro	Nicaragua Corojo	Nicaragua	Nicaragua	Nicaragua Corojo wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, baking spice, earth, cocoa, sweet tobacco	4	5	45	6	52	Padron 60th Anniversary · 6 × 52 · Perfecto · Full · Nicaragua · $45 · Notes: malted milk, cafe au lait, chocolate, cocoa	2025 Cigar of the Year — Padron anniversary perfecto with malted milk, cafe au lait, and chocolate in a Nicaraguan puro. Collector occasion.	Verified against https://www.cigaraficionado.com/ratings/8983/name/aganorsa-leaf-aniversario-toro.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Aniversario identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6 × 52 · Perfecto				Maybe
VID-12-AGAN-SIG-ROB	Aganorsa Leaf	Signature Selection	Robusto	Nicaragua Corojo	Nicaragua	Nicaragua	Nicaragua Corojo wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cinnamon, cocoa, wood, minerals	4	5	9	5	52	A.J. Fernandez Enclave Broadleaf Robusto · 5 × 52 · Robusto · Medium-Full · Nicaragua · $9 · Notes: cocoa, coffee, earth, dark sweetness	Enclave Broadleaf robusto — Connecticut broadleaf sweetness and coffee notes. AJ's maduro/broadleaf fermentation lesson.	Verified against https://www.cigaraficionado.com/ratings/20989/name/aganorsa-leaf-signature-selection-corona-gorda-corona.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Signature Selection identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		5 × 52 · Robusto				Maybe
CA25-14-AGING-QUATTRO	Aging Room	Quattro Nicaragua Concerto	Impromptu	Nicaragua	Nicaragua	Nicaragua	Nicaraguan hybrid wrapper adds pepper, cinnamon, nutmeg, and citrus lift.	Nicaraguan binder keeps the box-pressed puro firm and structured.	Nicaraguan filler supplies body, spice, and the A.J. Fernandez regional core.	pepper, cinnamon, nutmeg, orange peel	5	4	6	5	50	Bolivar Cofradia · 5 × 50 · Robusto · Medium · Honduras · $6 · Notes: cedar, wood, earth, leather	Bolivar Cofradia robusto - Honduran earth in a 5x50. Step up from the petit corona on our 2024 list.	Verified against https://www.cigaraficionado.com/top25cigar/aging-room-quattro-nicaragua-concerto-impromptu-2025.	User wants mild cream or low spice.	Recommend for a spice-focused Nicaraguan puro with modern critical credibility.	10		5 × 50 · Robusto				No
CA24-12-AKSUM-CLARO	Aksum	Claro	Robusto	Ecuador	Nicaragua	Nicaragua	Ecuador wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	3	4	14	6	60	Foundation Cigar Company Olmec Maduro · 6 × 60 · Grande · Full · Nicaragua · $14 · Notes: cocoa, earth, espresso, molasses	Foundation San Andrés statement in a 60-ring grande — cocoa, espresso, and long-session body. Winter smoke; plan two hours.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/aksum-claro-robusto-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Claro, or a medium coffee-friendly smoke at this size.	10		6 × 60 · Grande				Yes
CA25-25-ALADINO-85	Aladino	85 Aniversario Reserva	Toro	Honduras	Honduras	Honduras	Honduran wrapper showcases Corojo-seed heritage, wood, spice, and classic aroma.	Honduran binder keeps the puro structure direct and regional.	Honduran filler provides cedar, wood, spice, and medium-bodied reserve depth.	almond paste, baking spices, freshly baked cookie	4	6	14	5	50	Cohiba Dominican / Red Dot Robusto · 5 × 50 · Robusto · Medium · Dominican · $14 · Notes: cedar, cream, black pepper, wood	Cameroon texture and Dominican Piloto body — cedar, cream, and black pepper. Heritage prestige without OpusX money (U.S.-legal DR Cohiba).	Verified against https://www.cigaraficionado.com/top25cigar/aladino-85-aniversario-reserva-toro-2025.	User wants dark maduro, full strength, or creamy Connecticut mildness.	Recommend when the user wants to understand Honduran puro character and Eiroa heritage.	10		5 × 50 · Robusto				Maybe
BB24-02-ALADINO-PC	Aladino	Aladino	Petit Corona	Honduras	Honduras	Honduras	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	3	13	5	52	Foundation Cigar Company The Tabernacle CT Broadleaf Robusto · 5 × 52 · Robusto · Full · Nicaragua · $13 · Notes: dark cocoa, espresso, leather, earth	Broadleaf done with boutique intent — dark cocoa, leather, and fermented sweetness. For smokers who want texture, not just strength.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/aladino-petit-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	10		5 × 52 · Robusto				Yes
VID-18-ALA-CORO-RES-ROB	Aladino	Corojo Reserva	Robusto	Honduras Corojo	Honduras	Honduras / Nicaragua	Honduras Corojo wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	black pepper, baked apple, cocoa, cardamom, woody	4	4	10	6.13	52	La Aroma de Cuba Pasión Box-Pressed Torpedo · 6⅛ × 52 · Torpedo · Full · Nicaragua · $10 · Notes: cocoa, coffee, earth, dark sweetness	My Father-made Pasión — box-pressed torpedo with coffee, cocoa, and pepper. Richer and more modern than La Aroma Original.	Verified against https://www.cigaraficionado.com/ratings/22527/name/aladino-corojo-reserva-no-4-odd.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Corojo Reserva identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6⅛ × 52 · Torpedo				Maybe
BB25-09-AB-CHUNK-XL	Alec Bradley	Chunk Maduro	XL	San Andrés Maduro	Honduras	Honduras / Nicaragua	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, coffee, earth, dark sweetness, cedar	4	3	10	5	50	C.L.E. Maduro 50x5 · 5 × 50 · Robusto · Full · Honduras · $10 · Notes: dark cocoa, earth, spice, roasted nuts	Eiroa family full maduro — dark cocoa, pepper, and Honduran identity in a 50x5 robusto. Strong after-dinner without boutique pricing.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/alec-bradley-chunk-maduro-xl-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		5 × 50 · Robusto				Maybe
VID-02-MOW-10TH-TORO	Alec Bradley	Man O' War 10th Anniversary	Toro	Honduras	Honduras	Honduras / Nicaragua	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	nuts, oak, pepper	4	4	7	5.25	52	Punch Bottle Rocket · 5¼ × 52 · Figurado · Medium-Full · Honduras · $7 · Notes: earth, savory spice, cedar, cocoa	Punch Bottle Rocket figurado - Honduran spice in a fun shape. Slightly bolder than most Best Buys.	Verified against https://www.cigarsinternational.com/p/man-o-war-virtue-10-anniversary/2050768/.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Man O' War 10th Anniversary identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		5¼ × 52 · Figurado				Maybe
BB25-04-AF-PC	Arturo Fuente	Arturo Fuente	Petit Corona	Cameroon	Dominican Republic	Dominican Republic	Cameroon wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	3	4.94	5.25	53	The Cohiba Ambar · 5¼ × 53 · Ambar · Medium-Full · Cuban · — · Notes: oak, caramel, almond, cream	CA 2025 #2 — barrel-fermented Cohiba in the 53-ring Ambar size. Oak and caramel core, creamy almond, elegant fruit finish; pigtail cap nods to the original Lancero.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/arturo-fuente-petit-corona-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		5¼ × 53 · Ambar				Yes
CUR-06-AF-DCHATEAU	Arturo Fuente	Chateau Fuente	Double	Connecticut Shade	Dominican Republic	Dominican Republic	Connecticut Shade wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, coffee, light sweetness	3	4	14	6	52	OneOff Black · 6 × 52 · Toro · Medium-Full · Nicaragua · $14 · Notes: savory spice, earth, cocoa, cedar	Restored cult-brand toro — savory Aganorsa earth and cocoa with Illusione/Giolito pedigree. Boutique story plus modern execution.	Verified against https://www.cigaraficionado.com/ratings/16970/name/arturo-fuente-chateau-fuente-churchill.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Chateau Fuente, or asks for a medium creamy reference.	10		6 × 52 · Toro				Yes
CA24-09-AF-EYEBULL	Arturo Fuente	Don Carlos	Eye of the Bull	Cameroon	Dominican Republic	Dominican Republic	Cameroon wrapper sets the top-note character, color, and burn personality for this vitola.	Dominican Republic binder supports structure, combustion, and integration with the filler stack.	Dominican Republic filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, baking spice, sweet tobacco, toast, light cocoa	4	6	12	5	56	601 La Bomba Warhead X · 5 × 56 · Robusto · Full · Nicaragua · $12 · Notes: cocoa, earth, pepper, espresso	La Bomba Warhead X — 56-ring Nicaraguan power in a short format. Experienced smokers only; not a beginner flex.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/arturo-fuente-don-carlos-eye-of-the-bull-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Don Carlos, or a medium-full cognac-friendly smoke at this size.	10		5 × 56 · Robusto				Maybe
VID-19-AF-DONCAR-N2	Arturo Fuente	Don Carlos	No. 2	Cameroon	Dominican Republic	Dominican Republic	Cameroon wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	caramel, cocoa powder, nuts, spice, cedar	3	5	11	7	44	Herrera Esteli Norteño · 7 × 44 · Lonsdale · Medium-Full · Nicaragua · $11 · Notes: earth, savory spice, cedar, cocoa	Drew Estate Norteño — Mexican San Andrés over Nicaraguan core in a lonsdale. Savory lonsdale for bourbon after dinner.	Verified against https://www.cigaraficionado.com/ratings/24121/name/arturo-fuente-don-carlos-no-2-figurado.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Don Carlos identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		7 × 44 · Lonsdale				Yes
CUR-24-AF-DCPR-ROB	Arturo Fuente	Don Carlos Personal Reserve	Robusto	Cameroon	Dominican Republic	Dominican Republic	Cameroon wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	caramel, cocoa, nuts, spice, cedar	3	6	12	5	50	Cohiba Riviera · 5 × 50 · Robusto · Medium · Dominican · $12 · Notes: cream, cedar, nuts, toast	U.S. Cohiba Riviera — Connecticut shade cream and approachable Dominican body. Legal shelf Cohiba name, not island Cuban.	Verified against https://www.cigaraficionado.com/ratings/16969/name/arturo-fuente-don-carlos-no-2.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Don Carlos Personal Reserve, or asks for a medium sweet spice reference.	10		5 × 50 · Robusto				Yes
CUR-05-OPUSX-RDC	Arturo Fuente	Fuente Fuente OpusX	Reserva d'Chateau	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	licorice, wood, baking spices, leather, honey, red pepper	5	7	14	5	50	Cohiba Dominican / Red Dot · 5 × 50 · Robusto · Medium · Dominican · $14 · Notes: cedar, wood, earth, leather	The recognizable U.S. Cohiba robusto - Cameroon wrapper, cream, cedar, and black pepper in a 5x50. Heritage name without island Cuban sourcing.	Verified against https://www.cigaraficionado.com/top25cigar/fuente-fuente-opusx-angel-s-share-reserva-d-chateau-2025.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Fuente Fuente OpusX, or asks for a full sweet spice reference.	10		5 × 50 · Robusto				No
CA25-09-OPUSX-ANGEL	Arturo Fuente	Fuente Fuente OpusX Angel's Share	Reserva d'Chateau	Dominican Republic	Dominican Republic	Dominican Republic	Dominican wrapper is the core achievement, adding spice, sweetness, and estate-grown rarity.	Dominican binder keeps the puro structure elegant and Fuente-like.	Dominican filler provides cedar, spice, fruit, and OpusX complexity.	licorice, wood, baking spices, leather, honey, red pepper	4	7	10	7	48	Romeo y Julieta Reserva Real · 7 × 48 · Churchill · Medium · Dominican · $10 · Notes: cream, cedar, nuts, toast	Reserva Real Churchill - silky Ecuador Connecticut, nuts, and gentle spice in a long easy session. Milder than 1875, crowd-friendly.	Verified against https://www.cigaraficionado.com/top25cigar/fuente-fuente-opusx-angel-s-share-reserva-d-chateau-2025.	Beginner, budget-sensitive user, or user wants easy availability.	Recommend when the user wants OpusX prestige but not maximum strength.	10		7 × 48 · Churchill				No
L3-AF-GRANRES	Arturo Fuente	Gran Reserva	Chateau / Rothschild / Cazadores	Natural / Maduro / Cameroon varies	Dominican Republic	Dominican Republic	Wrapper varies, so it teaches how Natural, Maduro, or Cameroon wrappers can change the same Fuente core.	Dominican binder supports Fuente's smooth construction and balanced burn.	Dominican filler provides classic cedar, mild spice, and approachable premium structure.	cedar, baking spice, nuts, light sweetness, toast	3	3	6	4.5	42	Gran Habano Habano No. 3 Lunch Break · 4½ × 42 · Petit Corona · Medium · Honduras · $6 · Notes: earth, savory spice, cedar, cocoa	Top Best Buy pick - savory Nicaraguan lunch-break size with real flavor at $6. Great yard-gar that does not taste cheap.	Verified against https://arturofuente.com/our-cigars/gran2/.	User needs a single fixed flavor profile or wants strong nicotine intensity.	Recommend as a classic Dominican premium that teaches construction and balance.	10		4½ × 42 · Petit Corona				Yes
HTD-03-AF-HEMINGWAY	Arturo Fuente	Hemingway	Short Story	Cameroon	Dominican Republic	Dominican Republic	Cameroon wrapper contributes honeyed sweetness, baking spice, and aromatic texture unique to African leaf.	Dominican binder supports figurado construction and even burn through shaped formats.	Dominican filler keeps the profile medium-bodied with cedar, earth, brown sugar, and approachable Fuente balance.	almond paste, honey, cream, caramel, coffee, chocolate, vanilla	4	4	8	4	49	Arturo Fuente Gran Reserva · varied vitolas · Medium · Dominican · Notes: cedar, baking spice, sweet tobacco, wrapper-dependent spice	Cameroon sweetness and Fuente figurado skill in a short window. Brown sugar, baking spice, and cedar — craftsmanship you can finish before dessert.	Verified against https://www.cigaraficionado.com/ratings/25727/name/arturo-fuente-hemingway-short-story.	User dislikes figurados, wants full ligero power, or needs the lowest nicotine in the book.	Recommend to teach Fuente figurado skill and Cameroon sweetness in a medium, approachable package.	10		Arturo Fuente Gran Reserva · varied vitolas · Medium · Dominican · Notes: cedar, baking spice, sweet tobacco, wrapper-dependent spice				Maybe
